idx,status,elapsed_ms,error
0,200,131.886,
1,200,84.872,
2,200,54.255,
3,200,204.475,
4,200,175.913,
5,200,286.368,
6,200,250.979,
7,200,404.186,
8,200,313.288,
9,200,337.425,
10,200,382.954,
11,200,354.051,
12,200,445.607,
13,200,420.767,
14,200,484.847,
15,200,459.956,
16,200,726.899,
17,200,498.892,
18,200,524.817,
19,200,549.187,
20,200,568.89,
21,200,591.64,
22,200,640.703,
23,200,612.783,
24,200,675.742,
25,200,651.577,
26,200,684.895,
27,200,719.531,
28,200,737.501,
29,200,760.384,
30,200,781.922,
31,200,794.981,
32,200,842.171,
33,200,812.091,
34,200,860.021,
35,200,905.657,
36,200,879.796,
37,200,917.293,
38,200,1165.116,
39,200,928.19,
40,200,944.009,
41,200,972.274,
42,200,1007.004,
43,200,1030.748,
44,200,1105.415,
45,200,1053.989,
46,200,1073.072,
47,200,1149.715,
48,200,1168.839,
49,200,1112.055,
50,200,1210.108,
51,200,1178.019,
52,200,1225.011,
53,200,1250.583,
54,200,1327.553,
55,200,1304.223,
56,200,1267.476,
57,200,1337.059,
58,200,1348.75,
59,200,1358.131,
60,200,1428.654,
61,200,1402.672,
62,200,1374.193,
63,200,1447.81,
64,200,1469.006,
65,200,1492.119,
66,200,1510.515,
67,200,1529.009,
68,200,1542.175,
69,200,1643.919,
70,200,1550.355,
71,200,1600.468,
72,200,1617.242,
73,200,1581.769,
74,200,1646.002,
75,200,1560.455,
76,200,1744.643,
77,200,1713.037,
78,200,1647.558,
79,200,1660.074,
80,200,1667.853,
81,200,1691.666,
82,200,1823.984,
83,200,1733.332,
84,200,1675.88,
85,200,1706.147,
86,200,1777.951,
87,200,1740.191,
88,200,1762.116,
89,200,1748.989,
90,200,1782.141,
91,200,1793.301,
92,200,1845.391,
93,200,1798.19,
94,200,1866.004,
95,200,1850.75,
96,200,1811.249,
97,200,1820.641,
98,200,1876.835,
99,200,1859.254,
100,200,1881.528,
101,200,1890.016,
102,200,1904.695,
103,200,1912.796,
104,200,1953.237,
105,200,1923.618,
106,200,1931.991,
107,200,1958.128,
108,200,1967.679,
109,200,1973.693,
110,200,1980.065,
111,200,1989.268,
112,200,1999.94,
113,200,2010.918,
114,200,2021.398,
115,200,2075.012,
116,200,2028.242,
117,200,2037.153,
118,200,2044.273,
119,200,2053.064,
120,200,2096.463,
121,200,2079.309,
122,200,2113.318,
123,200,2191.007,
124,200,2126.819,
125,200,2138.517,
126,200,5291.258,
127,200,2157.135,
128,200,2169.362,
129,200,2194.205,
130,200,2210.679,
131,200,2234.718,
132,200,2221.404,
133,200,6454.898,
134,200,6611.407,
135,200,2261.413,
136,200,2276.581,
137,200,2287.276,
138,200,2301.619,
139,200,2314.953,
140,200,2322.356,
141,200,2331.586,
142,200,2340.436,
143,200,2551.645,
144,200,2345.919,
145,200,2354.775,
146,200,2364.533,
147,200,2370.13,
148,200,2378.4,
149,200,2388.423,
150,200,2401.814,
151,200,2424.502,
152,200,2409.817,
153,200,2458.603,
154,200,2471.46,
155,200,2484.059,
156,200,2556.962,
157,200,2499.933,
158,200,2565.984,
159,200,2538.849,
160,200,2579.421,
161,200,2596.339,
162,200,2613.256,
163,200,2626.637,
164,200,2643.11,
165,200,2658.422,
166,200,2673.778,
167,200,2686.003,
168,200,2696.763,
169,200,2706.028,
170,200,2727.06,
171,200,11975.967,
172,200,2735.027,
173,200,2745.592,
174,200,2754.186,
175,200,2762.658,
176,200,2769.438,
177,200,2777.802,
178,200,2787.879,
179,200,2801.041,
180,200,2812.798,
181,200,2824.425,
182,200,2832.731,
183,200,2845.821,
184,200,2863.273,
185,200,2871.239,
186,200,2879.838,
187,200,2888.584,
188,200,2900.141,
189,200,2909.95,
190,200,2921.291,
191,200,2945.399,
192,200,2931.045,
193,200,2955.09,
194,200,2965.663,
195,200,2977.189,
196,200,2989.839,
197,200,3003.648,
198,200,3016.107,
199,200,3027.482,
200,200,3038.445,
201,200,3049.751,
202,200,3076.277,
203,200,3064.354,
204,200,3089.799,
205,200,3103.59,
206,200,3116.555,
207,200,3127.468,
208,200,3136.679,
209,200,3157.345,
210,200,3144.576,
211,200,3180.157,
212,200,3167.085,
213,200,3188.719,
214,200,3198.039,
215,200,3208.013,
216,200,3216.997,
217,200,3240.007,
218,200,3226.452,
219,200,3249.853,
220,200,3260.025,
221,200,3279.129,
222,200,3266.625,
223,200,3287.677,
224,200,3291.874,
225,200,3312.024,
226,200,3301.404,
227,200,3320.904,
228,200,3330.157,
229,200,3339.641,
230,200,3348.913,
231,200,3358.4,
232,200,3368.682,
233,200,3377.907,
234,200,3386.457,
235,200,3396.175,
236,200,3404.343,
237,200,3416.607,
238,200,3432.102,
239,200,3448.02,
240,200,3465.495,
241,200,3480.275,
242,200,3510.321,
243,200,3494.195,
244,200,3521.815,
245,200,3532.517,
246,200,3583.685,
247,200,3566.462,
248,200,3551.742,
249,200,3539.326,
250,200,3596.773,
251,200,3623.585,
252,200,3610.969,
253,200,3634.732,
254,200,3661.576,
255,200,3646.05,
256,200,3671.81,
257,200,3702.14,
258,200,3681.275,
259,200,3730.75,
260,200,3716.321,
261,200,3742.51,
262,200,3754.365,
263,200,3767.424,
264,200,3815.26,
265,200,3794.841,
266,200,3777.598,
267,200,3835.65,
268,200,3860.091,
269,200,3846.342,
270,200,3870.347,
271,200,3883.961,
272,200,3899.279,
273,200,3910.847,
274,200,3923.008,
275,200,3935.696,
276,200,3947.208,
277,200,3955.647,
278,200,3974.103,
279,200,3963.99,
280,200,3984.309,
281,200,3995.452,
282,200,4005.543,
283,200,4015.694,
284,200,4025.623,
285,200,4033.418,
286,200,4057.636,
287,200,4064.374,
288,200,4073.915,
289,200,4084.912,
290,200,4094.363,
291,200,4111.603,
292,200,4101.571,
293,200,4118.73,
294,200,4128.843,
295,200,4137.252,
296,200,4148.169,
297,200,4168.009,
298,200,4156.592,
299,200,4173.503,
300,200,4183.229,
301,200,4193.843,
302,200,4201.849,
303,200,4211.925,
304,200,4223.352,
305,200,4233.665,
306,200,4241.724,
307,200,4250.344,
308,200,4258.397,
309,200,4268.146,
310,200,4276.732,
311,200,4287.394,
312,200,4297.056,
313,200,4316.363,
314,200,4295.232,
315,200,4314.985,
316,200,4326.587,
317,200,4341.553,
318,200,4359.889,
319,200,4378.4,
320,200,4401.091,
321,200,4415.084,
322,200,4386.652,
323,200,4443.738,
324,200,4425.085,
325,200,4454.074,
326,200,4464.914,
327,200,4476.334,
328,200,4483.517,
329,200,4493.837,
330,200,4503.403,
331,200,4512.837,
332,200,4530.06,
333,200,4519.114,
334,200,4537.371,
335,200,4551.957,
336,200,4561.76,
337,200,4574.379,
338,200,4583.85,
339,200,4594.499,
340,200,4606.28,
341,200,4616.893,
342,200,4627.045,
343,200,4634.416,
344,200,4645.09,
345,200,4662.343,
346,200,4673.102,
347,200,4693.298,
348,200,4679.969,
349,200,4703.129,
350,200,4714.07,
351,200,4724.325,
352,200,4733.011,
353,200,4742.833,
354,200,4753.336,
355,200,4765.279,
356,200,4774.728,
357,200,4784.984,
358,200,4793.649,
359,200,4805.17,
360,200,4828.304,
361,200,4814.853,
362,200,4850.647,
363,200,4838.2,
364,200,4864.375,
365,200,4875.049,
366,200,4883.165,
367,200,4892.463,
368,200,4900.611,
369,200,1767.186,
370,200,4931.664,
371,200,4921.273,
372,200,4941.611,
373,200,4962.504,
374,200,4952.081,
375,200,4971.041,
376,200,4978.917,
377,200,4988.574,
378,200,5010.831,
379,200,4997.291,
380,200,5018.902,
381,200,5037.745,
382,200,5028.225,
383,200,5048.249,
384,200,5062.202,
385,200,5073.598,
386,200,5083.604,
387,200,5092.514,
388,200,5100.801,
389,200,5111.985,
390,200,5121.799,
391,200,5130.46,
392,200,5140.033,
