lock,tx,requests,warmup,started_at,wall_ms,success,http_error,conn_error,avg_ms,p50_ms,p95_ms,p99_ms,max_ms,issued_rows,remaining_quantity,stock_consumed,expected_issued,overissue,issued_vs_stock_mismatch
pessimistic,inner,500,False,2026-08-16T21:21:03.212928+00:00,9214.6,500,0,0,4101.7,4027.6,7491.9,7786.1,7862.9,500,500,500,500,0,0
pessimistic,wrapped,500,False,2026-08-16T21:21:15.876742+00:00,8685.6,500,0,0,4067.2,4105.7,7345.6,7565.7,7629.6,500,500,500,500,0,0
spin,inner,500,False,2026-08-16T21:21:27.938196+00:00,14074.8,500,0,0,6772.3,6937.2,12377.6,12857.2,13213.4,500,500,500,500,0,0
spin,wrapped,500,False,2026-08-16T21:21:45.400844+00:00,6991.8,500,0,0,3270.1,3256.2,5935.9,6200.6,6583.1,500,748,252,500,0,248
redisson,inner,500,False,2026-08-16T21:21:55.302992+00:00,9196.1,500,0,0,4418.4,4425.2,8083.2,8372.2,8445.2,500,500,500,500,0,0
redisson,wrapped,500,False,2026-08-16T21:22:07.371163+00:00,6553.6,500,0,0,3076.1,3138.0,5441.4,5633.5,6219.7,500,750,250,500,0,250
pessimistic,inner,1000,False,2026-08-16T21:22:16.990126+00:00,12386.8,980,0,20,5705.8,5730.0,9958.3,10304.0,10390.6,980,20,980,1000,-20,0
pessimistic,wrapped,1000,False,2026-08-16T21:22:32.287435+00:00,12829.2,975,0,25,6019.3,6058.2,10545.4,10894.5,11976.0,975,25,975,1000,-25,0
spin,inner,1000,False,2026-08-16T21:22:48.495294+00:00,29100.2,984,0,16,13982.2,14213.4,25602.9,26484.2,27969.5,984,16,984,1000,-16,0
spin,wrapped,1000,False,2026-08-16T21:23:21.070027+00:00,18798.8,990,0,10,8372.4,8445.4,14736.2,15369.4,17130.3,990,504,496,1000,-10,494
redisson,inner,1000,False,2026-08-16T21:23:43.326152+00:00,18594.8,995,0,5,8859.5,8980.7,15878.4,16496.0,16687.0,995,5,995,1000,-5,0
redisson,wrapped,1000,False,2026-08-16T21:24:04.932090+00:00,12770.9,995,0,5,5886.4,5962.5,10498.9,10888.2,11560.1,995,502,498,1000,-5,497
pessimistic,inner,3000,False,2026-08-16T21:24:20.619891+00:00,29220.6,1000,1990,10,10578.3,12166.7,17525.1,18044.0,18144.3,1000,0,1000,1000,0,0
pessimistic,wrapped,3000,False,2026-08-16T21:24:53.444884+00:00,30045.0,1000,1948,52,10437.6,11082.9,17958.7,18473.0,19031.6,1000,0,1000,1000,0,0
spin,inner,3000,False,2026-08-16T21:25:26.992603+00:00,48993.1,1000,1964,36,16937.1,18622.2,27283.4,28237.8,28825.5,1000,0,1000,1000,0,0
spin,wrapped,3000,False,2026-08-16T21:26:18.956082+00:00,54264.1,2000,999,1,22218.1,19970.8,42602.2,44565.8,46536.5,2000,0,1000,1000,1000,1000
redisson,inner,3000,False,2026-08-16T21:27:16.755240+00:00,47885.4,1000,2000,0,13840.5,13985.4,24926.7,25922.2,26166.1,1000,0,1000,1000,0,0
redisson,wrapped,3000,False,2026-08-16T21:28:08.105494+00:00,44563.4,2000,999,1,15937.2,16750.9,25246.0,26081.8,29548.6,2000,0,1000,1000,1000,1000
